site_id,site_name_short,water_body,date,type,do_mg,sal,tss,n_total,p_po4,p_total
1911,Corio,Port Phillip  Bay,1989-12-13,surface,7.4,35.0,3.1,220.0,98.0,140.0
1229,Central,Port Phillip  Bay,1990-01-17,surface,7.6,34.0,3.2,170.0,75.0,92.0
1911,Corio,Port Phillip  Bay,1990-01-17,surface,7.4,35.0,4.1,210.0,91.0,110.0
1991,Hobsons Bay,Port Phillip  Bay,1990-01-17,surface,7.6,34.0,4.7,180.0,80.0,93.0
1229,Central,Port Phillip  Bay,1990-02-06,surface,7.9,35.0,3.7,130.0,61.0,64.0
1911,Corio,Port Phillip  Bay,1990-02-06,surface,7.8,34.0,3.9,190.0,94.0,98.0
1991,Hobsons Bay,Port Phillip  Bay,1990-02-06,surface,7.6,31.0,4.6,340.0,100.0,120.0
1229,Central,Port Phillip  Bay,1990-03-01,surface,8.0,35.0,2.7,160.0,67.0,81.0
1911,Corio,Port Phillip  Bay,1990-03-01,surface,7.1,35.0,3.3,240.0,72.0,130.0
1991,Hobsons Bay,Port Phillip  Bay,1990-03-01,surface,7.3,34.0,2.9,210.0,92.0,120.0
1229,Central,Port Phillip  Bay,1990-03-13,surface,7.6,35.0,1.7,130.0,66.0,66.0
1911,Corio,Port Phillip  Bay,1990-03-13,surface,7.8,36.0,1.7,190.0,100.0,110.0
1991,Hobsons Bay,Port Phillip  Bay,1990-03-13,surface,8.5,32.0,4.3,270.0,97.0,130.0
369,Long Reef,Port Phillip  Bay,1990-04-11,surface,9.0,35.0,5.4,460.0,160.0,260.0
939,Patterson River,Port Phillip  Bay,1990-04-11,surface,8.7,35.0,1.8,220.0,91.0,100.0
1229,Central,Port Phillip  Bay,1990-04-11,surface,7.6,35.0,2.9,160.0,62.0,81.0
1282,Dromana,Port Phillip  Bay,1990-04-11,surface,7.2,35.0,2.0,160.0,68.0,80.0
1911,Corio,Port Phillip  Bay,1990-04-11,surface,7.6,36.0,2.7,230.0,99.0,110.0
1991,Hobsons Bay,Port Phillip  Bay,1990-04-11,surface,8.5,34.0,4.3,240.0,100.0,130.0
939,Patterson River,Port Phillip  Bay,1990-05-29,surface,9.0,35.0,2.0,160.0,80.0,92.0
1282,Dromana,Port Phillip  Bay,1990-05-29,surface,8.7,35.0,2.8,100.0,71.0,79.0
369,Long Reef,Port Phillip  Bay,1990-05-31,surface,9.3,35.0,3.5,530.0,170.0,230.0
1229,Central,Port Phillip  Bay,1990-05-31,surface,8.2,35.0,2.7,140.0,68.0,80.0
